country,region,year,gdp_growth,inflation_rate,unemployment_rate,fdi_pct_gdp,trade_openness,literacy_rate,population_growth,internet_penetration,government_debt_pct,natural_resources_rents,growth_category
Tanzania,East Africa,2021,1.43,4.66,10.76,3.52,40.61,42.23,2.76,25.19,46.09,9.99,low
Gabon,Central Africa,2001,7.22,15.22,16.23,1.37,60.01,66.81,1.08,14.95,30.41,0.95,low
Congo,Central Africa,2009,0.89,16.53,1.0,4.4,79.09,57.81,4.87,30.24,70.32,1.83,low
Senegal,West Africa,2010,3.64,5.75,15.41,3.87,78.29,60.31,1.25,41.74,86.87,7.47,medium
Senegal,West Africa,2019,2.74,4.53,11.03,3.32,75.9,70.5,2.26,8.6,88.18,18.38,low
Mauritius,East Africa,2003,4.99,11.55,9.11,3.33,66.06,41.73,1.46,7.09,43.93,0.24,low
Tanzania,East Africa,2010,2.58,18.65,13.09,3.27,74.48,45.07,1.46,20.08,40.34,14.83,low
Mauritania,West Africa,2003,3.69,3.83,9.03,2.58,87.46,59.58,2.05,13.92,43.91,1.66,low
Ghana,West Africa,2018,3.79,4.13,1.0,3.85,68.5,62.38,3.14,31.53,51.48,5.06,medium
Tanzania,East Africa,2015,2.3,12.18,17.53,1.89,23.26,44.73,3.79,38.05,53.95,2.44,low
Burundi,East Africa,2011,5.96,4.78,13.46,10.14,49.43,79.21,2.11,33.85,35.04,4.73,high
Seychelles,East Africa,2009,5.22,4.96,10.12,0.0,73.93,57.48,1.49,35.91,25.41,5.48,medium
Gambia,West Africa,2003,4.23,7.39,6.2,2.04,47.46,57.41,2.98,11.12,56.0,6.99,medium
Gabon,Central Africa,2022,3.21,0.99,3.18,2.24,92.4,70.09,3.01,15.82,10.0,0.05,medium
Eritrea,East Africa,2015,6.89,6.01,13.34,8.6,58.74,62.68,2.74,28.89,52.99,4.95,medium
Lesotho,Southern Africa,2007,3.79,0.66,21.68,0.2,61.7,80.07,2.78,34.97,36.11,2.23,medium
Benin,West Africa,2009,3.58,0.58,13.22,4.56,82.49,48.2,2.39,17.9,70.6,3.29,medium
Uganda,East Africa,2017,4.81,10.2,3.7,4.12,56.34,39.85,2.6,25.33,75.95,14.36,medium
Equatorial Guinea,Central Africa,2017,9.59,5.71,13.35,4.33,63.53,59.42,2.32,35.79,76.42,6.96,high
Zimbabwe,Southern Africa,2011,0.48,0.13,11.68,6.59,77.98,66.08,3.57,9.43,48.07,2.76,low
Benin,West Africa,2007,6.81,5.56,17.18,6.54,30.55,42.67,4.73,22.16,32.3,4.48,medium
Mali,West Africa,2015,-1.18,6.59,15.64,2.37,54.29,40.02,2.68,23.97,38.71,9.16,low
Morocco,North Africa,2015,5.15,1.46,1.0,3.99,76.58,68.28,2.49,24.58,60.75,11.68,medium
Cabo Verde,West Africa,2014,9.23,1.45,15.27,0.0,61.31,51.36,2.76,39.51,22.08,2.24,high
Lesotho,Southern Africa,2001,5.97,0.61,5.98,3.75,89.35,38.85,1.84,11.8,82.87,0.51,medium
Congo,Central Africa,2011,5.01,3.88,3.47,1.52,28.48,82.38,3.26,16.01,48.39,5.76,medium
Zambia,Southern Africa,2014,2.82,6.98,10.87,3.03,26.2,53.63,2.94,35.51,65.0,2.58,low
Equatorial Guinea,Central Africa,2022,4.59,23.63,14.47,0.0,75.39,85.7,2.08,41.66,19.37,0.66,low
Tunisia,North Africa,2012,3.74,1.81,2.16,4.51,77.32,65.51,3.4,31.29,36.48,5.03,medium
Zimbabwe,Southern Africa,2008,2.14,6.96,16.23,0.0,56.13,70.31,2.52,43.26,16.89,0.99,low
Zimbabwe,Southern Africa,2013,3.63,3.61,16.58,3.87,68.01,61.19,1.53,41.26,75.42,0.88,medium
Mozambique,Southern Africa,2004,5.1,6.5,12.28,0.43,74.9,20.0,2.85,32.34,51.8,7.99,medium
Tanzania,East Africa,2002,2.2,9.46,6.79,1.38,43.72,44.54,2.74,27.12,66.43,3.98,low
Tunisia,North Africa,2016,2.08,3.36,6.12,6.39,45.86,62.74,3.46,27.97,56.27,3.54,medium
Djibouti,East Africa,2023,0.42,0.62,18.16,4.97,63.79,71.57,3.33,61.55,64.37,1.41,medium
DRC,Central Africa,2020,5.67,10.55,2.93,6.37,78.08,32.79,2.39,22.44,48.25,5.96,medium
Mauritius,East Africa,2014,6.14,5.14,18.39,7.4,36.68,64.04,2.03,8.66,50.93,3.82,medium
Equatorial Guinea,Central Africa,2000,5.19,16.13,11.01,1.57,56.04,44.8,2.5,8.5,53.17,3.89,low
Madagascar,Southern Africa,2023,7.4,1.45,11.42,7.25,55.12,69.22,2.86,27.58,63.11,1.21,high
Libya,North Africa,2010,4.76,0.98,1.75,0.0,68.36,64.65,2.98,32.42,63.64,17.05,medium
Sudan,North Africa,2006,5.68,1.27,11.12,5.37,59.83,78.38,2.8,3.27,111.23,5.95,medium
Botswana,Southern Africa,2021,5.41,28.5,15.68,2.27,49.08,84.2,2.41,26.38,88.63,1.22,low
Eritrea,East Africa,2017,4.23,12.82,3.98,1.17,84.97,73.26,3.5,20.22,19.42,2.8,medium
Burkina Faso,West Africa,2017,2.91,2.13,14.99,5.04,49.21,80.49,1.83,38.24,52.14,10.99,medium
DRC,Central Africa,2006,11.14,2.56,12.53,5.86,54.16,58.69,4.98,35.92,46.88,11.59,high
Seychelles,East Africa,2023,3.14,6.9,8.14,5.79,28.17,99.0,3.26,17.1,80.6,3.51,medium
Zimbabwe,Southern Africa,2010,2.5,3.93,17.13,4.04,45.73,43.06,1.37,10.06,48.69,17.88,low
Djibouti,East Africa,2012,5.8,2.33,1.0,3.83,70.32,55.5,2.69,18.12,64.29,4.55,medium
Liberia,West Africa,2018,5.26,2.75,14.08,4.82,66.41,81.22,3.27,21.24,10.0,2.64,medium
Gabon,Central Africa,2015,0.29,14.51,21.72,4.26,71.99,78.55,2.15,27.97,24.73,1.14,low
Botswana,Southern Africa,2004,7.87,7.81,20.64,4.85,71.02,73.77,1.0,18.85,96.85,3.13,medium
Morocco,North Africa,2007,4.22,14.59,14.34,4.01,101.75,77.16,1.46,5.93,56.0,14.38,low
Mali,West Africa,2008,1.17,18.55,10.19,5.61,45.04,27.5,3.04,26.92,35.03,11.81,low
Rwanda,East Africa,2022,8.07,7.48,8.19,0.0,27.61,93.61,0.75,26.74,59.86,11.5,medium
Guinea,West Africa,2017,6.38,6.92,10.18,3.17,38.99,61.33,1.05,37.79,33.94,1.2,medium
Egypt,North Africa,2008,0.71,1.12,15.26,0.04,45.93,87.43,3.04,20.5,49.33,5.72,low
Tunisia,North Africa,2017,9.83,5.05,7.16,4.19,40.51,28.4,2.28,34.92,25.95,10.6,high
Algeria,North Africa,2017,6.48,2.53,16.54,7.6,61.87,69.62,1.8,27.75,39.23,12.26,medium
Botswana,Southern Africa,2009,4.47,17.37,24.8,2.31,85.05,54.86,2.01,11.18,46.67,3.86,low
Mauritania,West Africa,2009,9.27,2.29,11.63,3.82,90.79,75.3,1.03,6.49,77.41,5.39,high
Cabo Verde,West Africa,2021,4.98,2.84,3.93,5.39,70.09,70.71,2.98,14.48,64.28,0.17,medium
